content,sentiment
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,sadness
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,anger
i feel so sad and hopeless,sadness
i still feel groggy but i have to get up to do the routine for my son,sadness
i know there are days in which you feel distracted,anger
im feeling distracted i tend to practice with my eyes shut as much as possible,anger
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,sadness
i am no fan of the current president i am a conservative and it made me feel unwelcome,sadness
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,sadness
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,anger
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,sadness
i died would alex and matt feel regretful for not coming to visit,sadness
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,sadness
i legs would feel shitty for a few miles but would come around like they always do,sadness
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,sadness
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,sadness
i wrote last year when i was feeling more dull and inarticulate than normal,sadness
id kick myself into gear but i just feel irritable with no motivation what so ever,anger
i will start to feel resentful,anger
i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,sadness
i feel so fucked like everyday of my life,anger
i am feeling disheartened with my words as of late,sadness
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger
i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,sadness
i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,sadness
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,anger
im feeling cranky,anger
i feel stressed always,sadness
i remember feeling another cramp but i also ignored it,sadness
i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,sadness
im feeling awful because we hung out with my friend and her new baby the day before,sadness
i feel the suffering and i really feel the pain,sadness
i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time,sadness
i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,anger
i feel as if i was abused in some way,sadness
im still paying attention but i feel distracted,anger
i can feel myself gaining control over the damaged goods aspects of my personal security,sadness
i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax,sadness
i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets,sadness
i have my own mind and i feel like my mind is dangerous to my life,anger
i feel as if i should be punished for neglecting you,sadness
i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially,sadness
i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions,sadness
i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know,sadness
id just had a terrible nightmare and was feeling a little disturbed,sadness
i didnt want to walk passed there just in case the customers feel disturbed,sadness
i want other sufferers to be able to find me in the hope that my battle can help them to feel that they are not alone,sadness
i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain,sadness
im sick of feeling crappy,sadness
i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us,sadness
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,anger
i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad,sadness
i personalities that can feel pain and suffering,sadness
i was warming up starting feeling a little lethargic,sadness
im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom,sadness
i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling,sadness
ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness,sadness
i can finally stop feeling listless and like a waste of space,sadness
i always spend more money there than i mean to and feel dissatisfied when i exit the store,anger
im feeling really quite angry,anger
i feel really ashamed,sadness
i is starting to feel a bit insulted by this stranger,anger
i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter,sadness
i actually feel sorrowful,sadness
i see women wearing boots i feel envious that i want to curse them,anger
i began to feel each of my senses dull until the cold black unconsciousness over came me,sadness
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,anger
i feel empty when the baby isnt there,sadness
i stopped feeling so exhausted a href http provokingbeauty,sadness
i be made to feel rotten,sadness
i started feeling hostile and i am checking my hemorrhoids,anger
i feel like i m on the receiving end of a violent attack,anger
i feel like im just on the edge in this microcosm one more awkward moment or missed party and id be on the outside,sadness
i feel burdened to share it,sadness
i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies,anger
i feel envious and embarrassed,anger
i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other,anger
i thought we were going to talk and try and work at things so i was shocked to find out steve had decided he wanted to be on his own the thing that broke me was the feeling of been unloved,sadness
i wouldnt have beared witness to the incredibly well spoken bouncer making an emo kid feel completely unwelcome,sadness
i tend to stop breathing when i m feeling stressed,sadness
i should feel complimented or insulted,anger
i crave as i fall into submission and i did not feel submissive in the least,sadness
i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,anger
i made it to work but i am feeling a little groggy,sadness
im starting to feel unwelcome in life and some people can already tell this,sadness
i feel bitter and just honkerblonked off in general,anger
i just busy myself with other stuffs but never with blogs or threads that will only make me feel miserable,sadness
i close my eyes i can hear the pitiful wailing sounds of my own cries taste the salty taste of my tears and feel that anger and hurt saturating my heart,sadness
im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage,anger
i am feeling pretty worthless right now,sadness
i had continued to think along those lines i probably would have done the dishes in anger and when he got up wed have had a fight about that with me feeling completely abused,sadness
i do feel envious of those with kids at certain moments,anger
i was feeling like a pretty crappy mom,sadness
im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week,anger
im then left feeling quite embarrassed as i say that nothings new,sadness
i feel unwelcome and out of place buti cant decide if i am just too scared to do anything about this ok situation or if i am staying here in this dead end situation because i am afraid things will get worse,sadness
i feel burdened for several loved ones and i miss my big kid whom i havent seen since friday,sadness
i feel is still really low in my abdomen,sadness
i try to get in at least minutes a day five days a week though i have been known to skip a workout if i m feeling particularly lethargic or lazy,sadness
i have been feeling beaten down sick and utterly devoid of hope that i will ever have the life i want,sadness
i find myself having much more time to think about myself without feeling depressed to actually be able to write and imagine without feeling trapped or like i am missing out on something a near constant feeling i have in cities,sadness
i feel like ive had to fake my feelings a lot more often then i would have liked to,sadness
im really like she said only you can understand the way i feel toni ight she blamed excesses on the merican dream so seldom witnessed never er seen hah hah hah hah hah,sadness
i dont know where i want to work because there will always be something that makes me feel stressed or anxious at work whatever the job may be as all jobs require some sort of rules or pressure,sadness
i feel like normally i would be angry because thats what i actually think that i could never be beautiful at my size,anger
i wonder how many people are against my do it only when you feel like it perspective but i think if you do it for the sake of doing it without wanting to do it then it will turn out to be the result of crappy work,sadness
i should have known she likes kamiki kun he laughs nozomi feels an unpleasant knot in her stomach you must think i m a fool don t you nonchan,sadness
i made the choice to start recognizing when that feeling of being unloved kicks in and to choose to keep my persistence at the same level not allowing that old reaction to shut me down,sadness
i feel like im more hated than celebrated and i cant wait till the day i can say i made it,anger
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger
ive become anxious about in recent times is this there is certainly a feeling amongst some people of belief that they are under siege that they are often disadvantaged that they are looked at and considered in some way different and their faith makes them less worthy of regard he said,sadness
i feel like i should care that im a bit heartless not to,anger
i hate chemo and the thought of having toxins washing through every single cell and making me feel horrible makes me cringe,sadness
i feel bitchy because i am hurting too,anger
i always feel like ive been assaulted by his pics,sadness
i feel incredibly isolated and lonely,sadness
i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible,anger
i was i admit very worried about feeling isolated i work in a cubicle pretty much on my own unless someone needs me,sadness
i am going to clean the slate by unilaterally forgiving those i feel have wronged me or someone i love intentionally or through carelessness so that i thereby in time can forget the perceived insults and abuses,anger
i make light of it but sometimes i feel really awkward in small groups and in one on one conversations,sadness
i also feel like if google hated seo we d know it,sadness
i feel like you feel this is a mistake but time is fucked up sleep won t take,anger
i feel like she s judging me and he s not here and i don t want to seem like the needy girl so i don t know,sadness
i feel burdened by her presence,sadness
i feel really pathetic confronted with some,sadness
i feel there are dangerous games or activities,anger
i am feeling terribly burdened by impending anxiety i am trying to just keep my eyes on the prize,sadness
i feel could be unpleasant is layered with love healing forgiveness and the expectation that things will turn out well,sadness
im feeling gloomy as i have completed nothing though im supposed to complete many things,sadness
i love children s literature authors who don t feel the need to dumb down things for kids,sadness
i was soo quiet it was a mixture of not sleeping well and feeling a bit isolated from the big group,sadness
i do feel that they are greedy and money hungry absolutely,anger
i feel so fucked up now i want to shut myself up,anger
i feel like today is way suffering than the exam day which we have to open books everytime we went home,sadness
i feel miserable on the inside but on the outside i just like i,sadness
i must find a way to accept these limitations until they are older without feeling held back or resentful,anger
i feel wronged but the judges people make at times however i also found out that actually in life we just need to be responsible to our own actions and and the people around us,anger
im currently feeling way fucked up with the mother tongue paper,anger
i feel i was unfortunate with both mister magnum and sounds of cheers travelling well for long periods of the race,sadness
i feel tortured and tragic enough as it is without having any importance or sparkle,anger
i feel selfish thinking this way but i feel so lonely at times,anger
i feel drained of energy,sadness
i am feeling pretty stinkin shitty for being such a horrible reviewer,sadness
i feel helpless about it,sadness
i was feeling awful on sunday,sadness
ive been studying really hard for it and discovering pretty words that never crossed my mind and how they portray the exact meaning and i feel like ive missed out a lot,sadness
i feel lonely at work im not a social bird as i usually am when i was in school,sadness
i think this may be the reason i would want to fly back to uae because there i can be oblivious of these conflicts that plague me conflicts that i feel helpless resolving,sadness
i saw the video of cena kissing maria and surprisingly i didnt feel like i hated her,sadness
i feel like i have been rather unkind to it,anger
i was not feeling submissive,sadness
i do feel a bit obnoxious it is definately the weather,anger
i says pressing his torso against siwons and bringing their faces close enough that he can feel siwons agitated breath,anger
i sat on my couch for several hours feeling pretty low,sadness
i can feel but i cant touch you said my love was a bit too much i wont deny it broke my heart cant find no crush so why dont you come on back home,sadness
i feel a little frustrated an ache of longing has settled into my heart the weariness of life his slipped around my shoulders like an unwelcome friend,anger
i even remember trying them on last year and feeling crappy because i was nowhere near closing them,sadness
i was feeling impatient and took pills,anger
i did at one point put my son in daycare but my mom constantly made me feel like a terrible parent because of it,sadness
i feel like my go to emotion is angry,anger
ive had too much training in grammar and language and reading something written like this kind of feels like im being assaulted,sadness
i is feeling insulted because everyone is comparing sneha with her,anger
i know scones are not a must have food but i am determined to live a frugal lifestyle without feeling deprived,sadness
i feel that horrible helplessness to make things better for them and that feels like it will kill me inside,sadness
i have a few more of these but after taking pictures of my house i feel it is far too messy to post photos online so ill clean up a bit before i post those,sadness
i feel hated loathed,sadness
ive been feeling very numb,sadness
im feeling every bit the spiteful vindictive bitch i can be at times,anger
i feel that is very unfortunate that i dont own the soundtrack,sadness
i didn t think that it would come that fast or would come at all but i suppose it is because i feel cranky today,anger
i have the feeling that im going to be stubborn about it,anger
i feel lonely and lost,sadness
i would feel empty,sadness
i start to feel agitated lacking in patience and just down right cranky,anger
i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad,anger
i love some of it the media coverage but sometime i feel they put an ugly picture,sadness
i feel as though i am being a little neglectful of my fellow bloggers,sadness
im feeling quite lonely here now and its only monday of half term,sadness
i feel really socially awkward and dont like to get out and meet new people and do things in groups and be adventurous,sadness
i feel horrible because i feel horrible made worse by the fact that i havent gotten to workout,sadness
i would hate to be bit imagine if the secretary is feeling irritable that day eh,anger
i feel it and im unhappy,sadness
i quickly trotted off he added i feel embarrassed to ask hoping i would enter into some kind of conversation with him,sadness
i hated that when i got drunk the whole next day was spent sleeping and feeling groggy,sadness
i feel agitated and the result is not pleasant the opposite of calm and peaceful,anger
i truly feel but its somehow not enough for me to hate him or to get mad,anger
i feel is that i cant get far enough away from what feeds melancholy for long enough that it would just wither and die off,sadness
i want to enter in defiance but coming from a different culture i feel offended that i am not allowed,anger
i was feeling rebellious so i ate it,anger
i do feel agitated restless or on edge quite often,anger
i feel like i should have actively hated every single second rather than just borne it all,anger
i feel a violent tug at my eye socket,anger
i was left feeling discouraged and hopeless once again,sadness
i feel that this is going to get very messy to get fixed and back on the road again,sadness
i feel frustrated that its not easier other days i remember that the blessing of research learning trial and error hard won success and patience will give me a far better garden in the long run,anger
i was tempted to feel a little bitter but then i saw this,anger
i feel quite strongly that students should be punished due to how well or badly they have faired compared to a completely unrelated group of people,sadness
i feel at least dating them would not be in vain,sadness
i do not feel unhappy miserable wretched glum gloomy forelorn or heartbroken,sadness
i really am feeling horribly irritable and a little bit depressed,anger
im feeling rushed and like i should have planned certain things this summer that i can no longer do,anger
i feel that cold breeze,anger
i try to breathe in when i feel frustrated and breathe out the calm that i desire,anger
i knew where things was headed but that didnt really prepare me for the heartbreak even i would feel my heart broke for danielle and all other military wives that have had to go thru losing their husband trying to protect our country,sadness
i feel heartless now feeling bored and not believe in love anymore,anger
i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business,anger
i feel lonely few days before my birthday,sadness
i was feeling so low about myself,sadness
i feel really angry sometimes because for the love of god havent we been through enough,anger
i feel sorry for rafael bosch,sadness
i hope for is that those certain people can attend to more important things in their lives but still come back to blogging if they feel they missed blogging,sadness
i begin to feel unpleasant about anime fandom in general,sadness
i am feeling miserable and sick but hoping that with the amount of sleep i am getting i havent had much choice i have had zero energy cold meds vitamins and lots of fluids i have high hopes to feel better tomorrow,sadness
im feeling cranky and horrible,anger
i feel troubled because of the ongoing relocation of our front door,sadness
i really feel i was wronged as a patient,anger
i feel like a greedy little traitor i m looking looking among these covers hey little snotface take me,anger
i feel like i was a rude ass hole at hookah,anger
i feel heartbroken for bryan,sadness
i feel like i had fake everything,sadness
i was made to feel like it was my fault that i couldn t control my husband and his violent behavior if they even believed it existed,anger
i feel disgusted when need to act cute like the actions of gwiyomi,anger
im an introvert by which i mean i get re energized being alone and preferably in a quiet place so times in the crew galley when there are a lot of people in a relatively small place all talking at once can leave me feeling drained and in need of a dark room with nothing but whale noises,sadness
i feel numb right now i thought i was feeling angry but now i dont know i dont feel anything should i be sad should i be happy or angry i dont know how to feel anymore,sadness
i just feel so discontent about my life these days,sadness
im starting to not buy the whole everything happens for a reason bit or god has a plan b c i feel that god is love and theres no way that he would torture me and other women like weve been tortured dealing w fertility issues,anger
i feel truly impatient that this is taking so long,anger
i want to say how i want to feel just come out so bitter and angry,anger
i know what it feels like to face irate customers,anger
i have always had people in my life who have gone out of their way to put me down trip me up or make me feel as if i were completely moronic or not worthy enough,sadness
i prep myself for another sleepless night i can t help but feel ashamed of myself for feeling this way,sadness
i wouldn t throw it in the ocean but i don t feel i would have missed something in my career if i don t win an oscar,sadness
im not used to feeling the dependency or the neediness for being needy is not me or at least wasnt prior to recently,sadness
i love this little boy and sometimes i feel how inadequate i am as a parent to him,sadness
i keep these things predominantly for fix functions and will not arranged right now to create a style applying twelve months previous ingredients until i m feeling much more perverse than usual,sadness
i havent worked out today but i feel like im just not going to feel it ive been so stressed at work and just in life that this week is just bad,anger
i feel sad and discouraged,sadness
i feel very unhappy and incomplete,sadness
i feel rejected and unwanted,sadness
im feeling lousy i may dismiss a gorgeous day if im feeling bright and cheerful then the most dreary of days becomes tolerable,sadness
i sometimes feel resentful that this has come into our lives at this time,anger
i sometimes feel disheartened when i realise just how far from my own culture i am,sadness
i feel hopeless and out of control,sadness
i feel horrible that i had to cancel on one of my best guy friends but the trip was stressing me out because my babysitting hours got cut and i couldn t afford it,sadness
i climbed a mountain and made my way to a village where the people stared at me the children looked frightened and ran away and everyone i came across asked me why i was there in such a way as to make me feel unwelcome,sadness
i dont feel inhibited and i can work out my problems,sadness
i have done so in hopes of being inspiring while at the same time looking for solace from people rather than god and for proof that maybe i can do something good while i feel so horrible,sadness
im feeling melancholy with all the back to school stuff today,sadness
i feel like i have been really cranky at school these days,anger
i do not feel like i am hostile toward others just that i fail to be nice to them,anger
i wake up feeling cranky and out of sorts,anger
i say that i feel like im being tortured by him,anger
i cant help looking back on the child i was and feeling rather jealous but i am also delighted to be living in a time when a nine year old child in some parts of the world can read a thousand books a year if she he wishes and is able to,anger
im feeling a bit cranky today,anger
i even dare to say that some of the biggest stiller and or vaughn haters still could get some enjoyment out of this movie and not feel annoyed by their performances and characters,anger
i begin to feel burdened by things amp long to be empty again,sadness
i feel so numb f,sadness
i am limiting myself to what i can reasonably do without causing greater injury but i have to do some sort of physical exercise or i start to feel horrible about myself,sadness
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,anger
i didnt feel the cold up there because we had a fire every night,anger
im also feeling cranky about it because the main characters scientist brother observing the moon mentions that there is zero gravity there,anger
i started to feel discouraged at the thought of being there more than one day,sadness
im already feeling sentimental about his time as a newborn as he was so wee and has sadly outgrown some fave thrifted outfits,sadness
i finish typing this post i realise i m ok no longer do i feel annoyed angry or even sad,anger
i refuse to rate the book but if she and her publisher feel snobbish then take it from me when i say jeanette winterson cannot write and essentially does not do wish to do anything with the scope to explore,anger
i feel petty even though the thoughts arent real fleshed out thoughts just these fluttering i should feel like this kind of thoughts,anger
i feel if journalists then blamed me,sadness
i feel like im not pretty enough like my personality is too boring and obnoxious,sadness
i have switched songs as that one was beginning to make me feel a little melancholy and who the fuck needs that,sadness
i feel embarrassed to talk to him at times because i feel very small in those moments like he is doing me a favor and i do not deserve to be given attention,sadness
i sound so entitled but you cant help but to feel disappointed even though you already knew you were going to be,sadness
i remember feeling how my husband felt when i would see people being rude to my mom and mom just being her sweet self to them,anger
i was feeling remorseful about my breakfast and so i took a diet pill,sadness
i feel as though the concept of lifestyle change rather than weight loss has been beaten to death but it really is something that i believe in and am currently experiencing,sadness
i do not know what my next steps are but i no longer feel lost,sadness
i have been feeling awful,sadness
i remember feeling a little jealous and realized that our time together wasnt solely about me but that he has a larger network of social interactions all ready in progress before i got there,anger
i feel impatient yet i am not fully sure what i am searching for,anger
i was on my own tearful and feeling unloved even though i know that i am,sadness
i feel like i had so much to write then got distracted by my home on a wednesday evening challenge and have therefore lost my train of thought,anger
i was starting to feel a little stressed,sadness
i feel ashamed to have not read it yet,sadness
i hear about a teenaged girl devastated by the pimple on her face the morning of prom i feel devastated for her,sadness
i feel unwelcome at work sometimes and think people might be talking about me rel bookmark i feel unwelcome at work sometimes and think people might be talking about me april a class url fn n href http www,sadness
i feel i am completely dissatisfied with the whole world and all human characters are inconsistent,anger
i knew from high school and he s pretty fuckin chill says that the girl feels insulted and threatened by the blog that i wrote and would like me to apologize and if i offended her i m sorry,anger
im feeling particularly dangerous a chocolate cookie,anger
i actually thought i would feel bothered being their since ehb and the other woman ow spent quite a bit of time together there but i didnt feel much of anything,anger
i feel bothered,anger
i mostly take the stairs there are of them but occasionally when i am feeling particularly lethargic because of a number of consecutive late nights i bow down to ease and convenience,sadness
i feel sort of pathetic saying that my iphone internet and tv are my must haves but lets be honest they are,sadness
i guess while i can understand their concern i can t help but feel a little rejected,sadness
i feel my brain damaged are getting worst for dis moment,sadness
the funeral of a friend who was killed in a car accident she was of my own age,sadness
i out of all people really dont have many proplems talking about how i feel that being said i am in love so after all i have bitched about the last months was in vain,sadness
i cant imagine the agony those folks feel waiting for news about their own sentimental things,sadness
i feel all messy,sadness
i do this i feel lethargic uninspired and the next morning have a go at myself,sadness
i feel just insulted,anger
when a very close friend with whom i have a very intimate and bodily relationship he had a girlfriend started to avoid me and didnt want to talk to me any more,anger
i feel wronged by the world,anger
i feel lethargic and lazy and completely uncomposed if i m not dressed in something like that,sadness
i feel that the director editor missed a teachable moment when tiphany makes her comments about it being nice to feel like everyone else,sadness
i feel agitated and empty and missing something,anger
i have realized that by ignoring it i am no better and it is heartbreaking to feel so helpless against it,sadness
i feel so terribly that i have ignored her sweet email up until now,sadness
i am feeling deeply offended big hurt feelings in fact,anger
i dontknow why but i never feel this way with anyone else i really cant be without linus i love him which i never thought i could ever love anyone after went through few fucked up relationship,anger
im feeling low and forgotten,sadness
i feel like i m that dirty trash bin on the streets that nobody really sought,sadness
i wake up and i feel absolutely worthless,sadness
i feel its gonna start aching again when the rainy season comes again next year,sadness
i am glad to know the reason for my recent lapse of sanity but i still feel like i want to go on a very violent rampage at the slightest inconvenience to me,anger
i read in one horrific sitting made me feel ashamed of the world we live in,sadness
i feel like offended with such question,anger
i feel hated and not wanted but just be an ignored,sadness
i wonder are you jealous or feeling of discontent or covetousnes,sadness
i am feeling so low lately just feeling of hopelessness is very disturbing making me tired and sick entire of living this kind of life,sadness
i guess im just feeling a little rebellious,anger
im feeling a little stressed over it already,sadness
i a href http feeling groggy,sadness
i feel resigned to what i have brought myself to and docile,sadness
i still feel so alone i just cant give you anything for you to call your own and i can feel you breathing and its keeping me awake can you feel it beating,sadness
i read cases of sons ignoring their old and helpless parents i feel very unhappy and sad,sadness
i feel humiliated by what my body can t do but when my husband makes advances towards me it reminds me that despite all that ra tries to take from my life he still finds me not only sexually attractive but beautiful,sadness
i feel kind of alone and helpless in,sadness
i feel totally ignored and excluded,sadness
im just feeling seriously pissed off at myself for doing something fantabulous but utterly stupid,anger
i wish i could say hey you know if i died tomorrow i wouldnt feel cheated on life or regretful that i didnt accomplish something,sadness
i go home i feel so empty,sadness
i feel defeated like a lion s prey,sadness
i am excited i hope they will be a it more personal with us and i wont feel like i am being rushed in and out,anger
i feel a little less gloomy a little more optimistic or a little better prepared to face what life throws my way,sadness
i wont lie im a little worried and nervous and i feel inadequate for the job but ill just do my best thats all my heavenly father wants of me,sadness
when my mother kept me in leadingstrings,anger
i feel like not enough people my age actually think that most are pretty devastated that their s have come and gone,sadness
i get home i laze around in my pajamas feeling grouchy,anger
i am feeling pretty homesick this weekend,sadness
i need to do the best i possibly can do and even when i get out at i feel too listless to study like right now,sadness
i feel like even though i dont buy into societys ideas about what a woman should look like i am still constantly unhappy with myself,sadness
i feel the character im doing is a little more beaten down and the comedy is a little bit smaller,sadness
i feel everything around me is fucked everyone around me is falling to pieces,anger
i anyone another lovely day today weather am running late with life generally and not done any art today yet feel deprived bit of,sadness
i feel extremely insulted,anger
i blanked a little on a lesson and she seamlessly jumped in to support me without making me feel stupid or inferring it to the kids,sadness
i feel like im the one to be blamed for all things,sadness
i cant help feeling mad at this man,anger
i continued to feel very submissive and continued to be aroused as well,sadness
i feel constantly at battle like i need to continuously improve myself but then feel like nothing i do will ever be enough and that makes me feel chronically exhausted,sadness
i feel like as much as it was an unfortunate situation that i wasnt with my father i was in a great place,sadness
i just want to show them that i can take care of myself and i feel wronged by staying with them,anger
